Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
"Last Revised on: March 13, 2026 - Next Release Date April 9, 2026"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"        Consumption expenditures",4.670,4.469,4.506,4.380,4.316,4.546,4.561,5.052,5.082,5.174,5.080,4.848,5.053,5.010,4.894,4.954,5.197,7.095,7.596,7.513,7.855,7.943,8.159,8.228,8.364,8.617,9.095,9.475,9.886,10.359,10.418,10.503,10.640,10.804,11.164,11.623,12.023,12.532,12.852,13.601,14.323,15.518,16.895,18.319,19.693,21.261,23.201,24.700,26.259,28.088,30.299,33.379,36.605,39.241,40.491,42.486,43.697,44.285,44.828,46.456,47.801,49.441,51.491,53.041,54.158,55.715,57.433,58.607,59.768,60.767,62.477,64.921,66.515,69.422,73.212,76.171,79.857,82.842,85.657,88.487,88.222,90.583,93.230,94.126,95.006,96.707,97.219,97.990,100.000,103.131,104.919,106.150,110.066,116.571,122.344,126.869,134.573
11,"        Gross investment",14.453,13.686,12.695,11.113,11.945,13.209,13.386,13.870,14.400,14.300,14.127,14.417,15.686,15.626,15.749,14.812,13.749,14.899,16.744,17.573,17.790,18.055,19.645,20.027,19.713,19.827,20.334,21.744,22.717,23.078,23.451,23.545,23.753,24.007,24.157,24.344,24.400,24.701,25.041,25.733,26.937,28.651,30.293,33.415,35.079,37.913,40.818,43.058,45.493,48.260,51.410,55.629,60.304,64.341,66.715,68.751,69.006,67.924,67.565,69.181,70.937,72.515,74.082,75.056,76.853,78.692,81.153,81.638,81.864,81.954,83.151,84.573,84.601,84.425,85.291,86.574,88.285,89.527,90.948,92.959,93.014,94.267,96.281,97.117,97.692,99.008,98.975,98.949,100.000,101.590,102.483,103.054,105.253,110.830,112.850,114.897,117.844
12,"            Structures",2.965,2.814,2.566,2.142,2.401,2.705,2.660,2.855,3.014,3.023,2.974,3.024,3.236,3.774,4.071,3.968,4.067,4.508,5.729,6.154,6.129,5.946,6.742,6.982,6.989,6.804,6.860,7.399,7.791,7.923,7.923,7.896,7.882,8.030,8.128,8.279,8.452,8.802,9.116,9.615,10.465,11.294,12.311,13.263,14.861,16.743,18.754,19.630,20.977,22.270,24.979,27.593,29.966,31.744,32.376,33.744,34.666,35.200,36.528,37.766,39.866,41.166,42.161,42.690,44.256,45.826,47.691,48.938,50.519,52.023,53.970,56.187,58.333,59.697,61.379,64.763,70.905,76.984,81.852,85.613,84.961,84.415,86.861,89.388,91.650,94.314,95.730,97.060,100.000,104.282,107.818,109.936,118.037,132.204,138.807,141.604,146.178
13,"            Equipment",26.263,25.257,23.980,24.064,22.426,23.510,26.444,24.629,24.103,23.200,23.255,24.172,27.511,23.971,23.446,21.777,19.974,22.124,24.837,26.156,26.869,27.845,29.746,30.113,29.255,29.840,30.851,33.472,35.316,35.666,36.494,36.576,37.123,37.595,37.959,37.992,38.018,38.395,39.049,39.920,41.665,44.687,47.027,64.684,63.634,64.711,67.800,72.835,77.058,82.165,84.439,89.187,95.972,102.370,105.977,107.637,105.058,99.258,95.115,95.116,96.368,98.243,99.117,100.358,102.789,105.642,107.345,106.646,103.312,101.055,100.920,99.490,97.126,95.448,95.651,95.852,96.452,96.347,96.025,96.891,97.331,97.891,99.634,99.904,99.731,100.260,99.937,99.909,100.000,100.685,101.551,101.833,104.575,111.236,114.183,116.812,120.130
14,"            Intellectual property products",10.854,10.004,9.799,9.556,9.070,9.511,9.150,9.608,9.943,9.869,9.608,9.392,9.422,10.739,12.163,14.240,14.081,14.329,15.641,16.162,16.239,16.643,18.014,18.398,18.645,18.626,19.005,19.632,20.095,20.572,20.899,21.124,21.246,21.337,21.339,21.565,21.522,21.650,21.781,22.347,23.256,24.540,25.819,26.693,28.213,30.936,33.391,34.964,36.795,38.905,41.761,45.619,49.666,53.110,55.358,57.567,58.830,59.549,60.515,62.952,64.786,66.250,68.313,69.247,70.707,72.054,74.836,75.528,76.761,77.351,78.823,81.193,81.800,81.991,82.973,84.352,85.910,87.188,89.062,91.463,91.404,93.506,95.587,96.477,97.270,98.876,98.825,98.630,100.000,101.812,102.416,102.969,104.249,108.529,109.696,111.405,114.005
15,"                Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,52.902,53.233,52.864,53.030,54.445,55.111,55.839,56.300,58.090,59.435,62.207,62.839,63.274,65.487,69.808,74.114,75.787,78.472,79.198,83.435,88.289,93.740,97.899,98.890,100.173,100.574,99.796,100.721,102.573,102.050,102.099,104.324,101.466,103.133,102.810,105.038,104.423,103.540,102.528,104.563,107.944,108.858,108.190,106.439,105.238,105.343,105.877,106.014,107.197,106.446,104.441,104.759,103.968,103.464,102.823,101.985,100.976,100.000,98.177,96.752,94.590,92.136,90.931,91.113,91.651,90.291
16,"                Research and development",9.530,8.783,8.603,8.390,7.963,8.350,8.034,8.436,8.730,8.665,8.435,8.246,8.273,9.429,10.679,12.502,12.363,12.581,13.732,14.190,14.258,14.612,15.816,16.153,16.370,16.354,16.686,17.237,17.643,18.062,18.349,18.549,18.656,18.737,18.739,18.935,18.895,19.006,19.121,19.616,20.421,21.554,22.712,23.506,24.869,27.313,29.512,30.953,32.611,34.595,37.188,40.735,44.455,47.649,49.829,51.967,53.215,53.994,54.916,57.288,59.252,60.803,62.793,64.123,65.529,67.044,69.836,70.673,72.157,72.967,74.343,76.540,77.095,77.407,78.723,80.402,82.122,83.481,85.576,88.135,88.185,90.944,93.330,94.545,95.612,97.747,97.895,97.920,100.000,103.062,104.434,106.019,108.756,115.335,116.941,119.194,123.833
17,"    National defense",6.134,5.943,5.867,5.722,5.684,5.940,6.139,6.282,6.430,6.443,6.440,6.238,6.625,6.478,6.400,6.275,6.321,8.411,9.208,9.230,9.531,9.729,10.029,10.087,10.125,10.387,10.910,11.504,12.009,12.461,12.547,12.633,12.739,12.891,13.231,13.605,13.960,14.449,14.794,15.535,16.328,17.553,19.016,21.006,22.543,24.387,26.442,28.170,30.015,32.216,34.765,38.319,41.995,45.155,46.824,48.969,49.794,49.815,50.173,51.745,53.147,54.872,56.601,58.247,59.147,60.696,62.422,63.465,64.350,65.152,66.801,69.056,70.365,72.712,76.317,78.965,82.562,85.452,88.071,90.999,90.352,92.273,94.979,95.990,96.459,97.850,98.053,98.419,100.000,102.642,104.067,105.374,109.225,116.078,120.888,125.394,130.911
18,"        Consumption expenditures",4.846,4.712,4.682,4.594,4.570,4.738,4.909,5.027,5.045,5.060,5.075,4.829,5.026,4.858,4.706,4.761,4.993,6.943,7.577,7.545,7.816,7.973,8.108,8.124,8.222,8.489,8.986,9.424,9.835,10.280,10.318,10.406,10.487,10.620,10.992,11.405,11.793,12.291,12.625,13.342,14.034,15.125,16.469,18.037,19.464,21.124,22.998,24.521,26.156,28.116,30.510,33.867,37.256,40.127,41.559,43.689,44.769,45.292,46.003,47.652,49.018,50.818,52.614,54.354,55.000,56.411,57.954,59.059,60.118,61.053,62.718,65.194,66.855,69.785,73.981,76.952,81.013,84.307,87.218,90.376,89.523,91.699,94.519,95.568,96.052,97.508,97.743,98.233,100.000,102.980,104.570,106.040,110.247,117.394,123.033,128.128,134.371
19,"        Gross investment",14.685,13.545,12.539,11.572,11.371,12.508,12.724,12.968,14.206,14.190,14.019,14.285,15.698,15.537,15.682,14.692,13.631,14.864,16.740,17.551,17.846,18.275,19.885,20.217,19.842,20.017,20.568,22.035,23.020,23.390,23.767,23.838,24.072,24.321,24.457,24.541,24.611,24.889,25.206,25.842,27.066,28.791,30.437,35.218,36.782,39.206,41.771,44.385,47.100,50.265,53.161,57.149,61.809,66.104,68.826,70.956,70.778,68.944,68.070,69.443,71.034,72.513,73.989,75.220,77.261,79.424,81.982,82.691,82.678,82.780,84.279,85.367,84.949,84.620,85.631,86.881,88.582,89.896,91.423,93.523,93.625,94.594,96.856,97.717,98.126,99.250,99.321,99.181,100.000,101.311,102.107,102.811,105.373,111.171,113.141,115.633,118.762
