Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
"Last Revised on: March 13, 2026 - Next Release Date April 9, 2026"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"            Intellectual property products",11.049,10.172,9.933,9.680,9.196,9.661,9.313,9.770,10.101,10.021,9.755,9.538,9.606,10.934,12.375,14.474,14.313,14.557,15.904,16.488,16.539,16.970,18.346,18.737,18.987,18.973,19.362,19.944,20.434,20.983,21.318,21.537,21.639,21.720,21.720,21.945,21.892,22.019,22.156,22.742,23.702,25.031,26.332,27.259,28.811,31.584,34.006,35.559,37.388,39.521,42.409,46.292,50.393,53.834,56.015,58.320,59.719,60.335,61.290,63.681,65.710,67.346,69.520,70.408,72.052,73.465,76.182,76.847,77.851,78.414,79.845,82.164,82.978,83.266,84.176,85.435,86.788,87.839,89.561,92.008,92.212,94.649,96.362,96.888,97.734,99.317,98.745,98.753,100.000,101.764,102.352,102.608,103.615,107.652,108.843,110.230,112.561
31,"                Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,50.342,49.976,49.409,49.271,50.528,51.006,51.541,51.911,53.471,54.719,57.190,57.692,58.060,60.039,64.060,67.982,69.528,71.965,72.784,76.824,81.468,86.670,90.652,91.723,93.087,93.660,93.213,94.244,96.369,96.485,97.047,99.555,97.724,99.678,99.829,102.431,102.135,101.672,101.055,103.279,106.776,107.834,107.155,105.333,104.039,104.141,104.695,104.877,106.130,105.454,103.610,104.045,103.433,103.083,102.569,101.832,100.897,100.000,98.240,96.737,94.487,91.946,90.754,90.951,91.256,89.851
32,"                Research and development",9.527,8.770,8.564,8.346,7.929,8.330,8.030,8.424,8.709,8.640,8.410,8.223,8.283,9.427,10.670,12.479,12.341,12.551,13.712,14.216,14.260,14.632,15.818,16.155,16.370,16.358,16.694,17.196,17.618,18.092,18.380,18.572,18.661,18.734,18.735,18.926,18.878,18.987,19.105,19.609,20.446,21.601,22.770,23.606,24.984,27.443,29.585,30.997,32.637,34.635,37.224,40.760,44.500,47.683,49.845,52.142,53.577,54.293,55.206,57.555,59.784,61.526,63.597,64.833,66.392,67.935,70.593,71.371,72.562,73.307,74.576,76.648,77.407,77.863,79.199,80.855,82.406,83.536,85.548,88.234,88.631,92.001,94.012,94.831,96.009,98.225,97.706,98.017,100.000,103.105,104.558,105.852,108.338,114.688,116.356,118.290,122.742
33,State and local,3.415,3.323,3.125,2.805,2.892,3.120,3.150,3.180,3.254,3.247,3.195,3.218,3.425,3.761,4.022,4.188,4.341,4.754,5.347,5.980,6.034,6.074,6.673,6.964,7.102,7.209,7.356,7.823,8.159,8.286,8.440,8.587,8.807,9.036,9.248,9.428,9.712,10.179,10.695,11.315,12.081,13.056,14.056,14.948,15.949,17.717,19.421,20.369,21.636,23.042,25.077,27.821,30.731,32.742,34.189,35.650,37.102,38.171,39.953,41.289,43.244,45.465,47.130,48.736,49.950,51.237,52.602,53.809,55.006,56.078,58.231,61.030,63.128,64.538,66.646,69.726,73.667,77.406,81.603,85.692,85.201,87.642,90.494,92.579,95.654,97.804,97.567,97.505,100.000,104.126,105.638,108.650,115.855,125.305,127.744,130.231,133.445
34,"    Consumption expenditures",2.919,2.891,2.786,2.605,2.605,2.748,2.816,2.762,2.828,2.829,2.797,2.831,2.967,3.203,3.426,3.588,3.731,4.086,4.552,5.097,5.187,5.303,5.722,6.014,6.201,6.412,6.590,6.910,7.226,7.450,7.663,7.901,8.185,8.426,8.652,8.849,9.134,9.603,10.169,10.809,11.543,12.460,13.418,14.310,15.230,16.618,18.162,19.181,20.486,21.843,23.741,26.271,28.977,30.884,32.473,34.137,35.731,36.760,38.589,39.934,42.044,44.428,46.281,48.189,49.450,50.758,52.054,53.302,54.529,55.673,58.038,61.054,63.340,64.839,67.243,70.392,74.065,77.606,81.472,85.690,84.738,87.718,90.663,92.571,95.941,98.123,97.654,97.429,100.000,104.271,105.451,108.848,116.233,124.977,126.748,129.386,132.590
35,"    Gross investment",5.279,4.969,4.459,3.633,4.133,4.802,4.617,4.989,5.096,5.064,4.941,4.930,5.448,6.346,6.772,6.685,6.697,7.338,8.632,9.623,9.475,9.167,10.520,10.797,10.737,10.455,10.508,11.513,11.941,11.753,11.722,11.570,11.583,11.791,11.972,12.113,12.423,12.920,13.328,13.941,14.877,16.136,17.353,18.273,19.680,23.303,25.823,26.383,27.403,29.041,31.769,35.597,39.539,42.067,42.573,42.812,43.477,44.730,46.257,47.530,48.709,50.148,50.932,51.127,52.110,53.292,54.976,55.991,57.053,57.803,59.043,60.929,62.249,63.294,64.221,67.021,72.051,76.608,82.165,85.719,87.168,87.294,89.736,92.615,94.327,96.331,97.165,97.845,100.000,103.492,106.454,107.764,114.153,126.979,132.599,134.408,137.690
36,"        Structures",3.752,3.519,3.145,2.511,2.923,3.452,3.310,3.603,3.660,3.637,3.545,3.530,3.918,4.605,4.956,4.856,4.838,5.297,6.221,6.968,6.846,6.580,7.583,7.799,7.749,7.513,7.497,8.250,8.613,8.469,8.469,8.343,8.352,8.520,8.662,8.770,9.015,9.401,9.707,10.168,10.892,11.872,12.827,13.566,14.702,17.616,19.476,19.778,20.487,21.689,23.806,26.883,30.028,32.039,32.355,32.476,33.028,34.167,35.548,36.636,37.570,38.865,39.430,39.643,40.612,41.821,43.641,45.030,46.646,48.092,49.908,52.128,53.924,55.435,56.737,60.008,65.910,71.477,78.184,82.395,84.254,84.514,87.457,90.775,92.835,95.148,96.362,97.310,100.000,104.370,108.232,110.013,118.149,134.443,141.393,143.127,147.145
37,"        Equipment",24.812,24.236,22.625,22.136,21.689,22.362,22.000,21.866,24.162,23.998,23.652,24.302,25.831,27.862,27.387,27.695,28.417,31.513,37.740,41.025,41.227,42.513,46.953,47.212,47.276,48.184,52.751,55.227,53.392,52.851,50.836,51.023,51.057,50.858,50.959,51.180,51.463,52.295,53.575,55.370,57.023,59.489,61.808,62.976,64.899,71.496,81.354,86.444,91.261,97.551,104.881,112.452,121.185,126.754,128.351,128.752,129.517,130.944,132.356,133.982,137.020,138.953,141.407,141.930,141.998,142.373,141.003,137.619,132.415,125.916,120.948,118.755,115.070,111.786,109.327,108.294,106.416,103.089,101.101,100.190,99.436,98.284,97.555,98.486,98.646,99.609,99.998,99.652,100.000,100.518,100.236,99.930,102.822,110.194,113.579,115.026,117.566
38,"        Intellectual property products",15.960,15.849,15.404,14.550,13.433,13.292,13.107,13.192,13.499,13.468,13.412,13.385,13.680,14.585,15.780,16.627,17.154,18.491,21.290,21.443,21.342,21.918,23.471,23.446,23.532,23.664,24.072,25.319,25.787,26.179,27.071,27.476,27.757,28.076,28.267,28.616,28.885,29.389,29.866,30.932,32.517,34.196,35.677,37.001,39.066,43.176,46.177,48.136,50.431,53.204,57.108,62.195,67.587,71.851,75.005,77.986,79.839,80.378,81.978,84.508,86.471,88.048,89.963,89.012,90.130,90.564,92.653,92.219,91.444,90.554,91.400,93.661,94.543,94.042,93.481,93.335,93.839,94.791,96.214,98.497,98.335,98.742,99.859,100.746,101.216,101.837,100.111,99.821,100.000,100.534,100.744,100.629,100.417,101.149,102.420,104.778,105.162
39,"            Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,45.445,46.086,46.893,47.384,48.080,48.430,49.136,50.505,52.311,54.453,56.557,58.985,60.628,62.220,65.151,70.370,75.233,77.705,81.017,83.654,88.289,93.975,100.671,105.585,109.402,112.058,113.679,113.697,115.356,117.223,116.985,117.216,119.167,115.092,115.640,114.622,115.914,114.057,111.287,108.422,109.090,111.760,112.381,110.969,107.973,105.599,105.080,106.192,106.785,107.932,106.750,106.068,106.075,106.186,105.710,104.614,102.874,101.490,100.000,98.413,97.742,96.704,95.008,93.943,94.414,96.203,94.951
40,"            Research and development",10.519,10.446,10.152,9.590,8.854,8.761,8.639,8.695,8.897,8.877,8.840,8.822,9.016,9.613,10.400,10.959,11.306,12.187,14.032,14.133,14.066,14.446,15.470,15.453,15.510,15.597,15.866,16.688,16.996,17.254,17.842,18.109,18.286,18.498,18.607,18.851,19.011,19.303,19.528,20.201,21.300,22.455,23.527,24.473,25.904,28.845,30.854,32.278,33.878,36.040,38.964,42.898,46.953,50.275,52.711,55.340,57.013,57.653,59.001,61.424,64.146,66.316,68.098,69.183,70.671,72.101,74.680,75.209,75.847,76.463,77.447,79.386,80.466,80.626,81.784,83.284,84.570,85.394,87.410,90.496,91.082,92.281,94.221,95.709,96.949,99.044,97.336,98.084,100.000,103.049,104.407,105.561,107.575,111.213,113.816,117.112,120.602

Legend/Footnotes
"1. Government consumption expenditures are services (such as education and national defense) produced by government that are valued at their cost of production. Excludes government sales to other sectors and government own-account investment (construction, software, and research and development)."
2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory investment is included in government consumption expenditures.
