GEOID_FIN,federal_transfers_real_2017,POPULATION,ID_NAME,STATE_FIPS,COUNTY_FIPS,tax_revenue_real_2017,B_B01,B_B21,B_B30,B_B42,B_B46,B_B50,B_B59,B_B79,B_B80,B_B89,T_T01,T_T09,T_T10,T_T11,T_T13,T_T16,T_T19,T_T20,T_T21,T_T22,T_T27,T_T28,T_T29,YEAR,decade,federal_transfers_pc,tax_revenue_pc,log_transfers_pc,log_tax_pc
0233140,1000.0,5515.0,HOMER CITY,02,122,10941000.0,,,,,,,,,,1000.0,3204000.0,7659000.0,25000.0,,,,23000.0,,,,,,30000.0,2017,2010,0.1813236627379873,1983.862194016319,-1.7074716527054659,7.592800826771324
0233360,560000.0,757.0,HOONAH CITY,02,105,2495000.0,,529000.0,,,31000.0,,,,,,1108000.0,1336000.0,47000.0,,,,,,,,1000.0,,3000.0,2017,2010,739.7622192866579,3295.9048877146633,6.606328809273883,8.100436033730308
0233910,129000.0,77.0,HUGHES CITY,02,290,42000.0,,129000.0,,,,,,,,,17000.0,24000.0,,,,,,,,,,,1000.0,2017,2010,1675.3246753246754,545.4545454545455,7.4237622614901255,6.3016194754118215
0234350,85000.0,273.0,HUSLIA CITY,02,290,,,,85000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,311.35531135531136,,5.740934740287494,
0234460,384000.0,391.0,HYDABURG CITY,02,198,146000.0,,384000.0,,,,,,,,,105000.0,41000.0,,,,,,,,,,,,2017,2010,982.0971867007672,373.4015345268542,6.889690271584498,5.922654340705107
0236400,6314000.0,32756.0,JUNEAU CITY AND BOROUGH,02,110,102936000.0,5733000.0,498000.0,,,,,,,,83000.0,48793000.0,47604000.0,958000.0,,,3029000.0,1507000.0,,,,,,1045000.0,2017,2010,192.75857858102333,3142.5082427646844,5.261438517709995,8.052776563456884
0236770,865000.0,570.0,KAKE CITY,02,195,282000.0,,865000.0,,,,,,,,,115000.0,162000.0,,,,,,,,,,,5000.0,2017,2010,1517.5438596491229,494.7368421052632,7.3248484250854204,6.2040259890916545
0237650,22000.0,51.0,KASAAN CITY,02,198,,,,22000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,431.37254901960785,,6.066972099616127,
0238420,2504000.0,7661.0,KENAI CITY,02,122,10717000.0,2502000.0,,,,,,,,,2000.0,3920000.0,6716000.0,,,,,,,,,,,81000.0,2017,2010,326.8502806422138,1398.9035373972067,5.789502208685305,7.2434440211783135
0239410,75000.0,1009.0,KING COVE CITY,02,013,1847000.0,,,,,65000.0,,,,,10000.0,,1747000.0,,,,,,,,,,100000.0,,2017,2010,74.33102081268582,1830.5252725470764,4.308528372164838,7.512358238827768
0240400,994000.0,765.0,KLAWOCK CITY,02,198,990000.0,,965000.0,,29000.0,,,,,,,278000.0,707000.0,,,,,5000.0,,,,,,,2017,2010,1299.3464052287582,1294.1176470588234,7.169616651812175,7.165584388284237
0240950,29000.0,6253.0,KODIAK CITY,02,150,12130000.0,,,6000.0,,,,,,,23000.0,1120000.0,10694000.0,,,,,197000.0,,,,4000.0,,115000.0,2017,2010,4.637773868543099,1939.868862945786,1.5342344814013131,7.570375653352935
